 x, y, z,signal
4,0,12.73,101
4,0,12.78,102
4,0,13.02,102
4,0,13.22,102
4,0,13.26,102
4,0,13.35,103
4,0,13.51,103
4,0,13.68,103
4,0,13.76,105
4,0,13.85,105
4,0,13.93,105
4,0,14.12,106
4,0,14.17,106
4,0,14.43,107
4,0,14.47,108
4,0,14.55,108
4,0,14.84,108
4,0,15,109
4,0,14.93,115
4,0,14.88,115
4,0,14.48,115
4,0,14.23,115
4,0,14.16,115
4,0,14.09,115
4,0,13.72,115
4,0,13.62,115
4,0,13.3,114
4,0,12.94,113
4,0,12.65,112
4,0,12.38,112
4,0,12.15,112
4,0,12.01,112
4,0,11.85,112
4,0,11.77,112
4,0,11.72,112
4,0,11.42,112
4,0,11.35,112
4,0,11.05,111
4,0,10.93,111
4,0,10.4,107
4,0,9.91,106
4,0,9.72,105
4,0,9.41,105
4,0,9.26,103
4,0,8.31,102
4,0,8.23,101
4,0,8.05,100
4,0,7.93,100
4,0,7.87,100
4,0,7.45,100
4,0,7.31,99
4,0,7.14,99
4,0,7.05,98
4,0,6.64,98
4,0,6.35,98
4,0,6.28,97
4,0,6.12,97
4,0,6.07,97
4,0,5.14,96
4,0,4.95,96
4,0,4.7,96
4,0,4.36,95
4,0,4.26,95
4,0,4.19,95
4,0,3.77,95
4,0,3.34,94
4,0,3.25,93
4,0,2.99,93
4,0,2.87,93
4,0,2.63,93
4,0,2.53,93
4,0,2.43,93
4,0,2.37,93
4,0,2.02,93
4,0,1.3,92
4,0,1.24,92
4,0,1.1,91
4,0,1.04,91
4,0,1.02,91
4,0,0.9,91
4,0,0.86,91
4,0,0.81,91
4,0,0.26,89
4,0,0,89
5,0,0.11,88
5,0,0.38,88
5,0,0.73,88
5,0,0.77,88
5,0,1.08,88
5,0,1.1,88
5,0,1.38,88
5,0,1.42,88
5,0,1.61,88
5,0,1.92,88
5,0,2.26,88
5,0,2.58,88
5,0,3,88
5,0,3.5,89
5,0,3.74,89
5,0,3.78,89
5,0,3.84,89
5,0,4.14,89
5,0,4.35,89
5,0,4.43,90
5,0,4.51,90
5,0,4.84,90
5,0,5.09,91
5,0,5.76,91
5,0,5.83,91
5,0,6.36,92
5,0,6.55,93
5,0,6.69,93
5,0,6.8,93
5,0,7.15,93
5,0,7.43,93
5,0,7.62,93
5,0,7.74,93
5,0,8.05,93
5,0,8.14,93
5,0,8.18,93
5,0,8.65,94
5,0,9.03,94
5,0,9.11,94
5,0,9.61,95
5,0,9.82,95
5,0,9.94,96
5,0,10.18,96
5,0,10.26,97
5,0,10.83,98
5,0,10.97,98
5,0,11.35,99
5,0,11.42,99
5,0,11.45,99
5,0,11.68,100
5,0,12.34,101
5,0,12.56,102
5,0,12.78,102
5,0,12.94,103
5,0,13.83,106
5,0,14.14,107
5,0,14.26,107
5,0,14.69,108
5,0,15,111
5,0,14.68,116
5,0,14.52,116
5,0,13.9,116
5,0,13.78,116
5,0,13.64,117
5,0,13.38,117
5,0,13.3,117
5,0,13.17,116
5,0,12.82,117
5,0,12.59,117
5,0,12.4,115
5,0,12.27,114
5,0,12.22,114
5,0,12.05,113
5,0,11.98,113
5,0,11.89,115
5,0,11.36,133
5,0,11.3,133
5,0,11.02,133
5,0,10.31,133
5,0,10.18,133
5,0,10.08,133
5,0,9.89,133
5,0,9.82,133
5,0,9.78,133
5,0,9.72,133
5,0,9.44,133
5,0,9.28,133
5,0,9.15,133
5,0,9.13,133
5,0,9.02,133
5,0,8.9,133
5,0,8.78,133
5,0,8.51,133
5,0,8.23,133
5,0,7.59,113
5,0,7.36,104
5,0,7.07,102
5,0,6.61,101
5,0,6.55,101
5,0,5.82,100
5,0,5.66,100
5,0,5.59,99
5,0,5.26,98
5,0,5.17,96
5,0,5.07,96
5,0,4.73,96
5,0,4.65,95
5,0,3.61,94
5,0,3.48,94
5,0,3.45,94
5,0,3.35,94
5,0,3.19,93
5,0,3.04,93
5,0,2.33,92
5,0,2.15,92
5,0,2.06,92
5,0,1.86,91
5,0,1.62,91
5,0,1.56,90
5,0,0.96,90
5,0,0.9,90
5,0,0.81,90
5,0,0.6,90
5,0,0.42,90
5,0,0.24,89
5.99,0,0.05,89
5.99,0,0.22,89
5.99,0,0.55,89
5.99,0,0.76,89
5.99,0,1.01,88
5.99,0,1.14,88
5.99,0,1.16,88
5.99,0,1.62,88
5.99,0,1.7,88
5.99,0,1.82,88
5.99,0,2.04,88
5.99,0,2.1,88
5.99,0,2.6,88
5.99,0,2.69,88
5.99,0,3.3,88
5.99,0,3.52,88
5.99,0,3.79,88
5.99,0,4.31,89
5.99,0,4.55,90
5.99,0,4.63,90
5.99,0,5.14,91
5.99,0,5.2,91
5.99,0,5.34,91
5.99,0,5.95,92
5.99,0,6.22,92
5.99,0,6.43,93
5.99,0,6.72,93
5.99,0,6.8,93
5.99,0,7.02,93
5.99,0,7.07,93
5.99,0,7.8,93
5.99,0,7.84,93
5.99,0,7.94,94
5.99,0,8.29,94
5.99,0,8.4,95
5.99,0,8.69,95
5.99,0,8.81,95
5.99,0,8.84,95
5.99,0,9.03,95
5.99,0,9.06,95
5.99,0,9.2,96
5.99,0,9.31,96
5.99,0,9.4,96
5.99,0,9.49,96
5.99,0,9.63,96
5.99,0,9.72,96
5.99,0,9.82,96
5.99,0,9.92,96
5.99,0,10.15,97
5.99,0,10.8,97
5.99,0,10.9,99
5.99,0,10.99,99
5.99,0,11.5,100
5.99,0,11.56,100
5.99,0,11.78,100
5.99,0,11.96,100
5.99,0,12.35,100
5.99,0,12.44,100
5.99,0,12.83,101
5.99,0,13.03,102
5.99,0,13.17,102
5.99,0,13.39,102
5.99,0,13.49,105
5.99,0,13.85,105
5.99,0,14.1,107
5.99,0,14.49,109
5.99,0,14.65,109
5.99,0,14.91,110
5.99,0,15,110
5.99,0,14.84,116
5.99,0,14.65,116
5.99,0,14.02,116
5.99,0,13.59,116
5.99,0,13.15,114
5.99,0,12.58,112
5.99,0,12.31,111
5.99,0,12.22,111
5.99,0,12.19,111
5.99,0,11.48,110
5.99,0,11.32,108
5.99,0,11.25,108
5.99,0,11.02,107
5.99,0,10.94,107
5.99,0,10.59,105
5.99,0,10.45,105
5.99,0,10.35,105
5.99,0,9.17,102
5.99,0,8.81,102
5.99,0,8.47,101
5.99,0,8.27,101
5.99,0,7.49,100
5.99,0,7.39,100
5.99,0,7.25,101
5.99,0,7.11,101
5.99,0,6.94,100
5.99,0,6.88,100
5.99,0,6.74,98
5.99,0,6.36,98
5.99,0,6.3,98
5.99,0,6.07,98
5.99,0,6.03,98
5.99,0,5.38,98
5.99,0,5.17,97
5.99,0,4.77,96
5.99,0,4.65,96
5.99,0,4.19,95
5.99,0,2.45,93
5.99,0,2.42,93
5.99,0,2.23,92
5.99,0,2.17,92
5.99,0,2.04,91
5.99,0,1.88,91
5.99,0,1.87,91
5.99,0,1.79,91
5.99,0,1.63,90
5.99,0,1.58,90
5.99,0,0.91,90
5.99,0,0.83,90
5.99,0,0.8,90
5.99,0,0.66,89
5.99,0,0.51,89
5.99,0,0.29,89
5.99,0,0.21,89
7,0,0.43,88
7,0,0.47,88
7,0,0.55,88
7,0,1.15,88
7,0,1.24,88
7,0,1.57,88
7,0,1.6,88
7,0,1.65,88
7,0,1.75,88
7,0,2.37,88
7,0,2.79,88
7,0,3.02,88
7,0,3.15,88
7,0,3.61,89
7,0,3.86,89
7,0,3.95,90
7,0,4.04,90
7,0,4.51,91
7,0,4.68,91
7,0,4.74,91
7,0,5.29,91
7,0,6.48,92
7,0,6.68,93
7,0,6.75,93
7,0,6.95,93
7,0,7.03,93
7,0,7.15,92
7,0,7.86,93
7,0,8.02,94
7,0,8.1,94
7,0,8.3,94
7,0,8.32,94
7,0,8.66,95
7,0,8.89,95
7,0,9.02,95
7,0,9.38,96
7,0,9.51,96
7,0,9.75,96
